,Provider ID,Hospital Name,State,Emergency Services,Use of EHRs,Mortality,Safety of care,Readmission,Patient experience,Effectiveness of care,Timeliness of care,Medical imaging use,Hospital overall rating
33,50567,MISSION HOSPITAL REGIONAL MED CENTER,CA,True,True,0,-1,-1,-1,0,-1,-1,3.0
34,50684,MENIFEE VALLEY MEDICAL CENTER,CA,False,True,0,0,0,-1,0,-1,,2.0
35,50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,CA,False,True,,0,,0,,,,
36,51310,FRANK R HOWARD MEMORIAL HOSPITAL,CA,True,True,0,0,0,1,,,,4.0
37,51317,ST HELENA HOSPITAL-CLEARLAKE,CA,True,True,0,,0,-1,,,,2.0
38,53302,CHILDREN'S HOSP OF LOS ANGELES,CA,True,True,,,,,,,,
39,53306,CHILDREN'S HOSPITAL AT MISSION,CA,True,True,,,,,,,,
40,61325,PIONEERS MEDICAL CENTER,CO,True,True,,,,,,,,
41,61326,PIKES PEAK REGIONAL HOSPITAL,CO,True,True,,,0,1,,,,
42,70006,STAMFORD HOSPITAL,CT,True,True,-1,-1,0,0,0,0,1,3.0
43,70029,BRISTOL HOSPITAL,CT,True,True,0,1,1,1,0,0,1,3.0
44,80003,ST FRANCIS HOSPITAL,DE,True,True,0,1,0,-1,0,-1,0,4.0
45,100054,TWIN CITIES HOSPITAL,FL,True,True,0,1,0,1,0,0,-1,4.0
46,100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,FL,True,True,0,0,1,-1,0,-1,0,2.0
47,100183,CORAL GABLES HOSPITAL,FL,True,True,0,1,1,-1,0,0,0,3.0
48,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,FL,True,True,-1,1,1,-1,0,0,1,3.0
49,100209,KENDALL REGIONAL MEDICAL CENTER,FL,True,True,0,1,1,-1,0,0,0,3.0
50,100244,CAPE CORAL HOSPITAL,FL,True,True,0,-1,1,-1,0,-1,-1,2.0
51,21301,PROVIDENCE VALDEZ MEDICAL CENTER,AK,True,True,,,,,,,,
52,21304,PETERSBURG MEDICAL CENTER,AK,True,True,,,,,,,,
53,21307,CORDOVA COMMUNITY MEDICAL CENTER,AK,True,True,,,,,,,,
54,110030,CARTERSVILLE MEDICAL CENTER,GA,True,True,0,1,0,-1,0,0,0,4.0
55,110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,GA,True,True,0,1,-1,0,0,-1,-1,3.0
56,110041,HABERSHAM COUNTY MEDICAL CTR,GA,True,True,0,0,0,0,0,0,0,3.0
57,110128,MEADOWS REGIONAL MEDICAL CENTER,GA,True,True,0,-1,0,1,0,1,-1,3.0
58,111313,PUTNAM GENERAL HOSPITAL,GA,True,True,0,,0,,0,0,,3.0
59,111335,LIBERTY REGIONAL MEDICAL CENTER,GA,True,True,0,,0,0,0,0,,3.0
60,113301,CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,GA,True,True,,,,,,,,
61,120028,NORTH HAWAII COMMUNITY HOSPITAL,HI,True,True,0,,0,0,0,0,0,3.0
62,130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,ID,True,True,0,1,-1,-1,0,1,0,4.0
63,140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,IL,True,True,-1,-1,1,0,-1,0,0,2.0
64,131323,ST LUKE'S WOOD RIVER MEDICAL CENTER,ID,True,True,,,0,1,,,,
65,140002,ALTON MEMORIAL HOSPITAL,IL,True,True,0,-1,0,0,0,0,1,3.0
66,140015,BLESSING HOSPITAL,IL,True,True,1,-1,1,1,0,0,1,3.0
67,140018,MT SINAI HOSPITAL MEDICAL CENTER,IL,True,True,0,-1,0,-1,0,-1,0,2.0
68,140052,OSF SAINT ANTHONY'S HEALTH CENTER,IL,True,True,0,0,1,1,0,0,0,3.0
69,140118,METROSOUTH MEDICAL CENTER,IL,True,True,-1,0,1,-1,0,-1,0,2.0
70,140191,INGALLS MEMORIAL HOSPITAL,IL,True,True,-1,1,1,-1,0,0,0,3.0
71,140210,HARRISBURG MEDICAL CENTER,IL,True,True,0,,1,0,0,1,-1,3.0
72,140258,ALEXIAN BROTHERS MEDICAL CENTER 1,IL,True,True,-1,-1,-1,0,1,0,0,4.0
73,140286,KISHWAUKEE COMMUNITY HOSPITAL,IL,True,True,0,1,-1,0,1,1,0,4.0
74,141302,MIDWEST MEDICAL CENTER,IL,True,True,,,,,,,,
75,141306,COMMUNITY MEMORIAL HOSPITAL,IL,True,True,,,,,,,,
76,141328,HARDIN COUNTY GENERAL HOSPITAL,IL,True,True,0,,0,,,,,
77,141346,FAYETTE COUNTY HOSPITAL,IL,True,True,0,,0,,,,,
78,141349,SPARTA COMMUNITY HOSPITAL,IL,True,True,0,,0,,,,,
79,143300,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,IL,True,True,,,,,,,,
80,143301,LARABIDA CHILDRENS HOSPITAL I,IL,False,True,,,,,,,,
81,150069,KING'S DAUGHTERS' HEALTH,IN,True,True,0,1,0,1,0,1,0,4.0
82,150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,IN,True,True,0,1,-1,-1,0,0,0,3.0
83,150128,COMMUNITY HOSPITAL SOUTH,IN,True,True,0,1,-1,0,1,0,1,4.0
84,160089,OTTUMWA REGIONAL HEALTH CENTER,IA,True,True,0,-1,-1,-1,0,1,-1,3.0
85,161377,MERCY MEDICAL CENTER-CENTERVILLE,IA,True,True,0,,0,0,,,,4.0
86,170166,MORTON COUNTY HOSPITAL,KS,True,True,0,,0,,0,1,,3.0
87,171303,LANE COUNTY HOSPITAL,KS,True,True,,,,,,,,
88,171312,COMANCHE COUNTY HOSPITAL,KS,True,True,,,,,,,,
89,171318,SEDAN CITY HOSPITAL,KS,True,True,,,,,,,,
90,171322,HAMILTON COUNTY HOSPITAL,KS,True,True,,,,,,,,
91,171324,SATANTA DISTRICT HOSPITAL,KS,True,True,,,,,,,,
92,171338,SABETHA COMMUNITY HOSPITAL,KS,True,True,,,,,,,0,
93,171344,WILSON MEDICAL CENTER,KS,True,True,,,0,,,1,,
94,171356,ST LUKE HOSPITAL & LIVING CENTER,KS,True,True,,,,,,,,
95,171373,ALLEN COUNTY REGIONAL HOSPITAL,KS,True,True,0,,0,0,,1,0,2.0
96,171382,ATCHISON HOSPITAL,KS,True,True,0,,0,1,,,,3.0
97,180010,SAINT JOSEPH HOSPITAL,KY,True,True,0,-1,0,-1,0,-1,0,2.0
98,180079,HARRISON MEMORIAL HOSPITAL,KY,True,True,0,,0,1,0,1,0,4.0
99,180080,BAPTIST HEALTH CORBIN,KY,True,True,0,0,0,0,0,0,0,3.0
100,190116,MOREHOUSE GENERAL HOSPITAL,LA,True,True,0,,0,0,0,0,-1,2.0
101,190144,MINDEN MEDICAL CENTER,LA,True,True,0,0,-1,1,0,1,0,4.0
102,190145,LASALLE GENERAL HOSPITAL,LA,True,True,0,,0,,0,0,0,3.0
103,190266,THE SPINE HOSPITAL OF LOUISIANA,LA,False,True,,,,1,,,,
104,200033,EASTERN MAINE MEDICAL CENTER,ME,True,True,1,0,1,-1,0,-1,1,2.0
105,191318,RIVERLAND MEDICAL CENTER,LA,True,True,0,,1,,,,,
106,200018,AROOSTOOK MEDICAL CENTER,ME,True,True,0,0,0,0,0,0,0,3.0
107,201301,CHARLES A DEAN MEMORIAL HOSPITAL,ME,False,True,,,,,,,,
108,201312,WALDO COUNTY GENERAL HOSPITAL,ME,True,True,0,,0,0,,,,3.0
109,210011,SAINT AGNES HOSPITAL,MD,True,True,,,,,,,,
110,220010,LAWRENCE GENERAL HOSPITAL,MA,True,True,-1,-1,1,-1,0,-1,0,2.0
111,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",MA,True,True,-1,-1,1,0,-1,-1,0,3.0
112,221300,MARTHA'S VINEYARD HOSPITAL INC,MA,True,True,0,,0,1,,,,4.0
113,230110,SPECTRUM HEALTH LUDINGTON HOSPITAL,MI,True,True,0,1,-1,0,0,0,0,4.0
114,230132,HURLEY MEDICAL CENTER,MI,True,True,0,-1,1,-1,-1,-1,0,1.0
115,230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,MI,True,True,-1,-1,1,-1,-1,-1,1,2.0
116,230269,"BEAUMONT HOSPITAL, TROY",MI,True,True,-1,1,1,0,0,0,1,3.0
117,230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,MI,True,True,0,-1,1,-1,0,-1,0,1.0
118,230277,HURON VALLEY-SINAI HOSPITAL,MI,True,True,0,-1,1,0,0,1,0,3.0
119,231303,SCHOOLCRAFT MEMORIAL HOSPITAL,MI,True,True,0,,0,1,0,0,-1,4.0
120,231322,MUNSON HEALTHCARE CHARLEVOIX HOSPITAL,MI,True,True,0,,0,1,0,0,0,3.0
121,231323,SPECTRUM HEALTH REED CITY HOSPITAL,MI,True,True,0,,0,0,0,1,0,4.0
122,240206,RED LAKE HOSPITAL A,MN,True,True,,,,,,,,
123,241300,MAHNOMEN HEALTH CENTER,MN,True,True,,,,,0,0,,
124,241306,RENVILLE COUNTY HOSPITAL AND CLINICS,MN,True,True,,,0,,,,,
125,250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,MS,True,True,0,1,0,1,0,1,0,4.0
126,241379,PRAIRIE RIDGE HOSPITAL AND HEALTH SERVICES,MN,True,True,,,,,,,,
127,250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,MS,True,True,0,0,0,1,0,0,0,4.0
128,250060,JEFFERSON COUNTY HOSPITAL,MS,True,True,,,,,,1,,
129,250084,MERIT HEALTH NATCHEZ,MS,True,True,0,0,0,-1,0,0,-1,2.0
130,250097,SOUTHWEST MS REGIONAL MEDICAL CENTER,MS,True,True,0,-1,1,-1,0,0,0,2.0
131,250127,CHOCTAW HEALTH CENTER,MS,True,True,,,,,,,,
132,250134,WHITFIELD MEDICAL SURGICAL HOSPITAL,MS,False,True,,,,,,,,
133,251309,FIELD HEALTH SYSTEM,MS,True,True,0,,0,,0,1,-1,2.0
134,260020,MERCY HOSPITAL ST LOUIS,MO,True,True,-1,1,1,1,1,0,1,4.0
135,260032,BARNES JEWISH HOSPITAL,MO,True,True,0,-1,1,1,0,-1,1,2.0
136,260108,MISSOURI BAPTIST MEDICAL CENTER,MO,True,True,-1,0,0,0,0,0,1,3.0
137,260141,UNIVERSITY OF MISSOURI HEALTH CARE,MO,True,True,1,-1,1,0,0,0,0,2.0
138,260142,FITZGIBBON HOSPITAL,MO,True,True,0,0,0,0,-1,1,0,3.0
139,260183,SAINT FRANCIS MEDICAL CENTER,MO,True,True,1,-1,-1,1,0,0,-1,3.0
140,260214,BELTON REGIONAL MEDICAL CENTER,MO,True,True,0,1,1,0,0,1,0,3.0
141,261318,SALEM MEMORIAL DISTRICT HOSPITAL,MO,True,True,0,,1,,,,,
142,261335,MERCY ST FRANCIS HOSPITAL,MO,True,True,0,,0,,,,,
143,261336,IRON COUNTY HOSPITAL,MO,True,True,,,,,,,,
144,263301,ST LOUIS CHILDRENS HOSPITAL,MO,True,True,,,,,,,,
145,270003,ST PETER'S HOSPITAL,MT,True,True,1,0,-1,1,0,0,0,3.0
146,271304,MISSOURI RIVER MEDICAL CENTER,MT,True,True,,,,,,,,
147,271309,PRAIRIE COMMUNITY HOSPITAL,MT,True,,,,,,,,,
148,271321,WHEATLAND MEMORIAL HOSPITAL,MT,True,True,,,,,,,,
149,271339,P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE,MT,True,True,,,,,,,,
150,280009,CHI HEALTH GOOD SAMARITAN,NE,True,True,0,0,-1,0,0,1,0,3.0
151,280013,THE NEBRASKA MEDICAL CENTER DBA NEBRASKA MEDICINE,NE,True,True,0,-1,1,1,0,-1,1,2.0
152,280133,"NEBRASKA SPINE HOSPITAL, LLC",NE,False,True,,,,1,,,,
153,281300,HARLAN COUNTY HEALTH SYSTEM,NE,True,True,,,,,0,,0,
154,281301,FILLMORE COUNTY HOSPITAL,NE,True,True,,,0,,0,,,
155,281302,PAWNEE COUNTY MEMORIAL HOSPITAL,NE,True,True,,,,,0,0,,
156,281303,NIOBRARA VALLEY HOSPITAL,NE,True,True,,,,,,,,
157,281309,COMMUNITY MEMORIAL HOSPITAL,NE,True,True,,,,,,,,
158,281312,GENOA COMMUNITY HOSPITAL,NE,True,True,,,,,,,,
159,281314,ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER,NE,True,True,,,,,0,,,
160,281315,BRODSTONE MEMORIAL HOSP,NE,True,True,0,,0,,,,,
161,281316,WEBSTER COUNTY COMMUNITY HOSPITAL,NE,True,True,,,,,,,,
162,281319,JEFFERSON COMMUNITY HEALTH CENTER,NE,True,True,,,0,,0,0,0,3.0
163,281326,ANTELOPE MEMORIAL HOSPITAL,NE,True,True,,,0,,0,0,0,3.0
164,281327,COZAD COMMUNITY HOSPITAL,NE,True,True,,,0,,,,,
165,281331,AVERA CREIGHTON HOSPITAL,NE,True,True,,,0,,,,,
166,281334,BOONE COUNTY HEALTH CENTER,NE,True,True,0,,0,1,0,0,,4.0
167,281335,CALLAWAY DISTRICT HOSPITAL,NE,True,True,,,,,0,,,
168,281336,YORK GENERAL HOSPITAL,NE,True,True,0,,0,1,0,0,0,3.0
169,390093,CLARION HOSPITAL,PA,True,True,0,-1,0,-1,0,1,-1,2.0
170,281338,HOWARD COUNTY MEDICAL CENTER,NE,True,True,0,,0,,0,,0,3.0
171,281340,DUNDY COUNTY HOSPITAL,NE,True,True,,,,,0,,,
172,281344,CHERRY COUNTY HOSPITAL,NE,True,True,,,0,0,,,0,3.0
173,281346,CHI HEALTH PLAINVIEW,NE,True,True,,,,,0,1,,
174,281347,OSMOND GENERAL HOSPITAL,NE,True,True,,,,,,,,
175,100213,BLAKE MEDICAL CENTER,FL,True,True,1,1,1,-1,0,1,0,2.0
176,281349,PENDER COMMUNITY HOSPITAL,NE,True,True,0,,0,1,0,0,,4.0
177,281351,CHASE COUNTY COMMUNITY HOSPITAL,NE,True,True,,,,,,0,,
178,281352,"COMMUNITY MEDICAL CENTER, INC",NE,True,True,0,,0,1,0,0,,4.0
179,281354,CRETE AREA MEDICAL CENTER,NE,True,True,,,,,0,0,,
180,281360,BOX BUTTE GENERAL HOSPITAL,NE,True,True,0,,0,0,,0,,3.0
181,281361,LEXINGTON REGIONAL HEALTH CENTER,NE,True,True,0,,0,,0,0,,3.0
182,281363,COMMUNITY HOSPITAL,NE,True,True,0,,0,1,0,1,0,4.0
183,281364,"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",NE,True,True,0,,0,1,0,1,0,4.0
184,290041,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,True,True,-1,-1,0,-1,-1,-1,0,3.0
185,290045,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NV,True,True,1,-1,-1,-1,0,-1,1,1.0
186,290057,HENDERSON HOSPITAL,NV,True,,,,,,,,,
187,291306,CARSON VALLEY MEDICAL CENTER,NV,True,True,0,,0,0,,,0,3.0
188,291314,SOUTH LYON MEDICAL CENTER,NV,True,True,,,,,,,,
189,310009,CLARA MAASS MEDICAL CENTER,NJ,True,True,0,1,0,-1,0,-1,0,3.0
190,310010,UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,NJ,True,True,0,1,1,0,0,-1,0,3.0
191,310011,CAPE REGIONAL MEDICAL CENTER INC,NJ,True,True,0,0,1,0,0,-1,-1,3.0
192,310034,RIVERVIEW MEDICAL CENTER,NJ,True,True,0,0,-1,0,0,-1,0,3.0
193,310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NJ,True,True,0,-1,1,-1,0,-1,1,2.0
194,310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,NJ,True,True,0,-1,0,-1,0,-1,0,2.0
195,310054,HACKENSACK-UMC MOUNTAINSIDE,NJ,True,True,0,-1,1,-1,-1,0,0,2.0
196,310091,MEMORIAL HOSPITAL OF SALEM COUNTY,NJ,True,True,0,0,0,-1,0,0,0,3.0
197,310110,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,NJ,True,True,0,-1,1,-1,0,-1,1,1.0
198,100248,LARGO MEDICAL CENTER,FL,True,True,1,0,1,-1,0,1,0,2.0
199,320058,MESCALERO PHS INDIAN HOSPITAL,NM,False,True,,,,,,,,
200,320059,NORTHERN NAVAJO MEDICAL CENTER,NM,True,True,,,0,-1,0,,,2.0
201,320060,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,NM,True,True,,,,,0,,,
202,320062,CROWNPOINT HEALTHCARE FACILITY,NM,True,True,,,,,,,,
203,320070,DHHS USPHS INDIAN HEALTH SERVICES,NM,True,True,,,,,,,,
204,321309,MIMBRES MEMORIAL HOSPITAL,NM,True,True,0,,1,-1,0,0,0,2.0
205,330024,MOUNT SINAI HOSPITAL,NY,True,True,-1,-1,0,-1,0,-1,0,3.0
206,330049,NORTHERN DUTCHESS HOSPITAL,NY,True,True,0,0,-1,0,0,1,0,3.0
207,330055,NEW YORK-PRESBYTERIAN/QUEENS,NY,True,True,0,1,1,-1,-1,-1,0,2.0
208,330058,GENEVA GENERAL HOSPITAL,NY,True,True,0,0,0,-1,1,-1,0,3.0
209,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,NY,True,True,0,-1,0,0,0,0,-1,2.0
210,330136,MARY IMOGENE BASSETT HOSPITAL,NY,True,True,0,-1,1,-1,0,-1,0,2.0
211,330181,GLEN COVE HOSPITAL,NY,True,True,0,-1,1,-1,0,-1,0,2.0
212,330195,LONG ISLAND JEWISH MEDICAL CENTER,NY,True,True,-1,-1,1,-1,-1,-1,1,2.0
213,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,NY,True,True,0,-1,1,-1,0,-1,1,2.0
214,330304,WHITE PLAINS HOSPITAL CENTER,NY,True,True,-1,-1,1,1,1,-1,1,3.0
215,330385,NORTH CENTRAL BRONX HOSPITAL,NY,True,True,,0,1,-1,0,-1,,2.0
216,330386,CATSKILL REGIONAL MEDICAL CENTER,NY,True,True,0,-1,1,-1,0,-1,,2.0
217,330393,UNIVERSITY HOSPITAL ( STONY BROOK ),NY,True,True,-1,-1,1,0,0,-1,0,2.0
218,331303,CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE,NY,False,True,,,,,0,1,,
219,340030,DUKE UNIVERSITY HOSPITAL,NC,True,True,0,1,0,1,0,-1,0,4.0
220,340047,NORTH CAROLINA BAPTIST HOSPITAL,NC,True,True,0,-1,0,0,0,0,1,3.0
221,340127,GRANVILLE HEALTH SYSTEMS,NC,True,True,0,0,1,0,0,0,0,3.0
222,340132,MARIA PARHAM MEDICAL CENTER,NC,True,True,1,1,1,-1,0,-1,1,2.0
223,340144,DAVIS REGIONAL MEDICAL CENTER,NC,True,True,0,0,0,-1,0,0,0,3.0
224,340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,NC,True,True,,,,,,,,
225,340171,NOVANT HEALTH MATTHEWS MEDICAL CENTER,NC,True,True,0,1,-1,-1,0,0,1,4.0
226,341302,OUR COMMUNITY HOSPITAL,NC,True,,,,,,,,,
227,341320,ALLEGHANY COUNTY MEMORIAL HOSPITAL,NC,True,True,0,,0,,,1,,3.0
228,341323,CHARLES A CANNON JR MEMORIAL HOSPITAL,NC,True,True,0,,0,0,,,,3.0
229,350063,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,ND,True,True,,,,,0,,,
230,350064,STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,ND,True,True,,,,,,,,
231,351305,KENMARE COMMUNITY HOSPITAL,ND,True,,,,,,,,,
232,351312,NORTHWOOD DEACONESS HEALTH CENTER,ND,True,True,,,,,,,,
233,351318,CARRINGTON HEALTH CENTER,ND,True,True,0,,0,,0,1,0,4.0
234,351319,PEMBINA COUNTY MEMORIAL HOSPITAL,ND,True,True,,,0,,0,,0,3.0
235,351331,TOWNER COUNTY MEDICAL CENTER,ND,True,True,,,,,,,,
236,360051,MIAMI VALLEY HOSPITAL,OH,True,True,-1,0,-1,-1,0,0,0,4.0
237,360076,ATRIUM MEDICAL CENTER,OH,True,True,0,1,-1,-1,0,0,0,4.0
238,360098,LAKE HEALTH,OH,True,True,-1,1,1,0,0,-1,1,4.0
239,360133,GRANDVIEW HOSPITAL & MEDICAL CENTER,OH,True,True,0,1,0,1,0,0,0,4.0
240,360245,GLENBEIGH HEALTH SOURCES,OH,False,,,,,,,,,
241,360262,MERCY ST ANNE HOSPITAL,OH,True,True,-1,1,-1,0,0,0,0,5.0
242,360274,MEDICAL CENTER AT ELIZABETH PLACE,OH,True,True,,,,0,0,,,
243,363306,DAYTON CHILDREN'S HOSPITAL,OH,True,True,,,,,,,,
244,363308,SHRINERS HOSPITALS FOR CHILDREN - CINCINNATI,OH,False,True,,,,,,,,
245,370034,MCALESTER REGIONAL HEALTH CENTER AUTHORITY,OK,True,True,1,-1,0,-1,0,1,-1,2.0
246,370048,MCCURTAIN MEMORIAL HOSPITAL,OK,True,True,0,,0,0,-1,-1,-1,3.0
247,370049,STILLWATER MEDICAL CENTER AUTHORITY,OK,True,True,0,0,-1,1,0,1,0,4.0
248,370054,GRADY MEMORIAL HOSPITAL,OK,True,True,0,0,0,0,0,1,0,3.0
249,370183,HILLCREST HOSPITAL HENRYETTA,OK,True,True,0,,0,,0,1,,3.0
250,370214,LINDSAY MUNICIPAL HOSPITAL,OK,True,,,,,,,,,
251,370222,MCBRIDE ORTHOPEDIC HOSPITAL,OK,True,True,,0,,1,0,0,,5.0
252,371311,JEFFERSON COUNTY HOSPITAL,OK,True,True,,,0,,,,,
253,371313,"MERCY HOSPITAL KINGFISHER, INC",OK,True,True,0,,0,,0,1,0,4.0
254,371330,QUARTZ MOUNTAIN MEDICAL CENTER,OK,True,True,,,,,,,,
255,371331,DRUMRIGHT REGIONAL HOSPITAL,OK,True,True,,,0,,,1,,
256,371332,SEILING MUNICIPAL HOSPITAL,OK,True,,,,,,,,,
257,381319,ST ANTHONY HOSPITAL,OR,True,True,0,,0,1,,,,4.0
258,390013,EVANGELICAL COMMUNITY HOSPITAL,PA,True,True,0,0,0,1,0,-1,0,3.0
259,390025,KENSINGTON HOSPITAL,PA,False,,,,,,,,,
260,390032,ALLEGHENY VALLEY HOSPITAL,PA,True,True,0,0,0,-1,0,1,-1,3.0
261,390066,GOOD SAMARITAN HOSPITAL,PA,True,True,1,-1,-1,1,0,-1,-1,2.0
262,390079,ROBERT PACKER HOSPITAL,PA,True,True,0,-1,1,0,0,0,0,2.0
263,390111,HOSPITAL OF UNIV OF PENNSYLVANIA,PA,True,True,0,0,1,1,0,-1,0,4.0
264,390123,POTTSTOWN MEMORIAL MEDICAL CENTER,PA,True,True,1,1,1,-1,0,0,0,1.0
265,390146,WARREN GENERAL HOSPITAL,PA,True,True,0,-1,0,-1,0,0,0,3.0
266,390156,MERCY FITZGERALD HOSPITAL,PA,True,True,0,-1,1,-1,0,-1,0,2.0
267,390163,ACMH HOSPITAL,PA,True,True,0,1,-1,0,0,1,0,4.0
268,390168,BUTLER MEMORIAL HOSPITAL,PA,True,True,0,1,-1,0,0,1,0,4.0
269,390180,CROZER CHESTER MEDICAL CENTER,PA,True,True,0,-1,0,-1,0,-1,0,2.0
270,390195,MAIN LINE HOSPITAL LANKENAU,PA,True,True,-1,-1,-1,1,0,-1,0,4.0
271,390219,EXCELA HEALTH LATROBE HOSPITAL,PA,True,True,0,0,1,1,0,1,0,3.0
272,390258,ST MARY MEDICAL CENTER,PA,True,True,0,1,1,1,0,-1,0,4.0
273,390321,SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH,PA,False,True,,,,1,,,0,
274,390330,ST LUKE'S HOSPITAL - MONROE CAMPUS,PA,True,,,,,,,,,
275,393303,CHILDREN'S HOSPITAL OF PHILADELPHIA,PA,True,True,,,,,,,,
276,400001,PRESBYTERIAN COMMUNITY HOSP,PR,True,True,0,0,0,,,,,3.0
277,400003,HOSPITAL METROPOLITANO DR PILA,PR,True,True,,,,,,,,
278,400004,"ASOCIACION HOSPITAL DEL MAESTRO, INC",PR,True,True,0,,1,,,,,
279,400005,HIMA SAN PABLO HUMACAO,PR,True,True,,,,,,,,
280,400006,DOCTORS' CENTER HOSPITAL SAN JUAN,PR,True,True,,,1,,,,,
281,400007,RYDER MEMORIAL HOSPITAL INC,PR,True,True,0,,0,,,,,
